followee_id,followee_name,follower_id,follower_name
36914138,neademokratia,1250385987500457984,moutsipai
36914138,neademokratia,966862682,bamias77
1249779785682898944,AcharnesT,35748752,sofokleous10
1249779785682898944,AcharnesT,2151065568,thetimesgr
1249779785682898944,AcharnesT,106133713,zacharakisg
1250856168823689219,d_kinderlis,1248682793934209024,gpapadim
1250856168823689219,d_kinderlis,394041983,giorgosstratige
1250856168823689219,d_kinderlis,1249326962595815427,dapmjt
1250856168823689219,d_kinderlis,1246796933991202817,stolakiss
2798150072,dskourlis,51698161,regunus
2798150072,dskourlis,1207081877733068801,salonikinews1
2798150072,dskourlis,1052520052270948352,ETheodwridou
2798150072,dskourlis,740071279861075968,FouZou1978
2798150072,dskourlis,743184125176090624,KPapazafirop
2798150072,dskourlis,1013868699571441664,ErieKeh
2798150072,dskourlis,818156341,SpyrosLangkos
2798150072,dskourlis,2198457147,DimitriosGikas_
2798150072,dskourlis,914614483728945152,RozMari41
2798150072,dskourlis,29552472,unpledged_
2798150072,dskourlis,867374023780552705,nef_tzakia
2798150072,dskourlis,253158160,nnt_ntantalis
2798150072,dskourlis,50430535,georgetsapalos
2798150072,dskourlis,2576365844,salesioannou
2798150072,dskourlis,109436144,Markos_Markou
2798150072,dskourlis,2180331641,InsigniaSEO
2798150072,dskourlis,786864612,Kyle18uk
2798150072,dskourlis,3362112771,annou197
2798150072,dskourlis,2164413181,natata_patata
2798150072,dskourlis,2411892494,duluvenyzyti
323819437,pikria1212,2987507846,AntScarp1
323819437,pikria1212,182084232,xpollatos
323819437,pikria1212,710741512670343168,6LsQ7cpKiOJqWVP
323819437,pikria1212,2872661847,DennisKoutoudis
323819437,pikria1212,1291386584,spesainunclick
323819437,pikria1212,3096291947,LeeMorrisTips
323819437,pikria1212,39549123,nikolaoudz
323819437,pikria1212,1725388087,TorbenJ36281057
323819437,pikria1212,4506713898,IvetteLipps
323819437,pikria1212,324851031,GrivasPanos
323819437,pikria1212,704973534385332225,Antirallgr
323819437,pikria1212,2986244813,KostasAnnikas
323819437,pikria1212,341023791,GerasimosGrivas
